transcript_file_id	transcript_file_name	transcript_aliquot_submitter_id	miRNA_file_id	miRNA_file_name	miRNA_aliquot_submitter_id	sample_id	case_id
d0bcfdbe-512d-4bec-a212-6da156e49562	0177d00d-7d3f-43c8-8d0f-e6333e73efa4.rna_seq.transcriptome.gdc_realn.bam	TCGA-CM-6678-01A-11R-1839-07	6b1a6bce-427d-45ec-aeb5-0d858057fb3e	15e81180-df14-4d8d-88b9-1bed3e00af5b.mirbase21.mirnas.quantification.txt	TCGA-CM-6678-01A-11H-1838-13	010eccdb-0d4b-4808-b210-8c462ad05925	d7048098-09b3-4763-ad54-9c5c6fe14bc0
13924f38-0c70-4e92-92ef-cd75d10160f4	a83e78c0-8b1b-4576-aace-4bee1dee5046.rna_seq.transcriptome.gdc_realn.bam	TCGA-D5-6922-01A-11R-1928-07	5e4bea92-f9f4-452a-ad58-03d40f27a96d	eae01809-211a-4b69-a9cd-cdba4307c529.mirbase21.mirnas.quantification.txt	TCGA-D5-6922-01A-11H-1927-13	0152ba53-d53b-4ec8-a256-3dcad8e8d2a3	0a94eecf-4db2-4846-8383-c83ff02e4a9f
18b9504f-6ff9-4b3a-a289-2a491a97521e	f624c673-6366-4809-a6a1-aa9d1aa184a8.rna_seq.transcriptome.gdc_realn.bam	TCGA-DM-A0X9-01A-11R-A155-07	fe21d28f-84f6-4cdf-a299-1ab05443ae74	e4c73412-e592-4832-945c-6b6b106a6087.mirbase21.mirnas.quantification.txt	TCGA-DM-A0X9-01A-11H-A154-13	0164c63c-d3fc-48ab-88d3-c0ab821c39c4	75ea63a9-357b-4566-bd78-eaa67809decd
a8109c74-87ef-47af-a70d-b8a5931ba23f	fddf611e-f586-49e1-9ee8-8ac853accb9e.rna_seq.transcriptome.gdc_realn.bam	TCGA-G4-6309-01A-21R-1839-07	cc79ac36-af8b-40c1-9cf8-602ab3a16501	843eb030-25b2-4db2-9d4c-aff2de14a3a8.mirbase21.mirnas.quantification.txt	TCGA-G4-6309-01A-21H-1838-13	019736e0-3672-4aa7-a00d-891bdd1f7f5c	e4be17c8-0855-432c-bb80-28bb24b62f32
1263f730-6ba5-485c-afda-7be1465d3a04	d1447a31-64bb-4e70-ae50-eeff7a605f38.rna_seq.transcriptome.gdc_realn.bam	TCGA-A6-5656-01B-02R-A277-07	69021d61-7803-40ec-a8e0-c0ba4659a631	c3ee2d72-ca3b-4ac8-9055-b5231c697d95.mirbase21.mirnas.quantification.txt	TCGA-A6-5656-01B-02R-A27D-13	0230996e-7ee3-4360-a790-fb420d0b60ba	eb4e4e09-98b3-4e85-8dd2-75676ff2af14
7dad54fb-e072-46e3-9db0-63b1a92bae12	b3c0ffda-f298-45dd-b494-191788cb7013.rna_seq.transcriptome.gdc_realn.bam	TCGA-5M-AATE-01A-11R-A41B-07	fe3f4cdc-f060-4940-9340-cd51df0dd07e	a6f1d4ee-b216-4b96-95a6-5705662254d7.mirbase21.mirnas.quantification.txt	TCGA-5M-AATE-01A-11H-A41D-13	02981f5d-786d-4bc8-9449-cede512502bc	a54b322b-80d3-435c-8d14-25841b741f6c
e22bf717-ec42-4d7c-bc4f-a74c2f999381	79e8e03b-7481-46a3-99f6-9b6b8729c7c9.rna_seq.transcriptome.gdc_realn.bam	TCGA-CM-6676-01A-11R-1839-07	602518a5-f958-440c-8303-70daf783dcf8	28601318-ef22-4e2e-95eb-b983a3cd14e6.mirbase21.mirnas.quantification.txt	TCGA-CM-6676-01A-11H-1838-13	04aede4a-8d61-4501-bdca-10ea9bc343f9	4138aca8-e085-45fb-b353-74852efe61bf
4fe41373-9249-42b8-ac70-d24c58eb9103	cadbc884-10b6-41e4-8aee-dc11a1453b8c.rna_seq.transcriptome.gdc_realn.bam	TCGA-F4-6703-01A-11R-1839-07	0584070f-4acc-4be6-8045-12d72a30b326	6a4f3e9f-7294-4743-9037-051fa4fa8d1e.mirbase21.mirnas.quantification.txt	TCGA-F4-6703-01A-11H-1838-13	04dd54d3-e4d1-4c72-860b-20e971609a5a	0c53b010-4243-4da3-a059-7f54c9a850ec
9a4f1356-a568-4bb2-b640-0b61aa08cb2e	f3781318-56be-4a43-b72d-a6bb65ef9a88.rna_seq.transcriptome.gdc_realn.bam	TCGA-A6-5657-01A-01R-A32Z-07	fc5aad47-3503-4811-bbdf-e226d64dff62	0788bc76-03da-467e-895c-fec98b5a0448.mirbase21.mirnas.quantification.txt	TCGA-A6-5657-01A-01T-1652-13	05711fa9-46f4-43fd-a293-4969790f1004	dbbee8f5-d83d-4195-85cf-f89d327da0a9
0703abbf-0dcf-4f36-a3e0-f74b88b8c71b	ea9574a3-678b-4b54-b689-b3045e32fa04.rna_seq.transcriptome.gdc_realn.bam	TCGA-AY-6197-01A-11R-1723-07	f26396bc-0003-43a1-b14e-f3cad76c240a	f01cf7b4-b78e-4f5e-8bb6-57478110c912.mirbase21.mirnas.quantification.txt	TCGA-AY-6197-01A-11H-1722-13	066aaaaf-f945-4b04-9db5-d556f0c2bc08	f6c674bf-396d-4bfe-8d08-e7266c314be3
f26e9b81-82d8-4d05-90f0-c3385152799c	a82c207a-ac59-48cf-9bbf-13ff024e3f95.rna_seq.transcriptome.gdc_realn.bam	TCGA-CK-5915-01A-11R-1653-07	d33fedde-4abc-410c-8c80-cdf91ea7c039	dd5f7f24-5cc8-4db2-ab52-4f1f8f6a0a0c.mirbase21.mirnas.quantification.txt	TCGA-CK-5915-01A-11H-1652-13	076808f3-1a00-4c82-bfa3-91a325f1e73c	c658f35d-ceeb-4189-8e3d-03e3b9706667
85535fab-ba49-4b3e-b372-08c15a997042	f40a9044-a36a-4091-8783-0815792c56f7.rna_seq.transcriptome.gdc_realn.bam	TCGA-D5-5538-01A-01R-1653-07	f345f96d-9ecb-400d-8eda-d56df89c2fe6	77695f8a-3a82-4e6e-9240-ea1186df4775.mirbase21.mirnas.quantification.txt	TCGA-D5-5538-01A-01T-1652-13	07a8c609-d838-4571-8d74-81e7083cbd76	0dacc5ce-498f-4c60-9f78-7a013ffaa9ce
19ec6fa0-7160-4134-8e43-69fb060b475f	58c2404d-b213-4a7f-a8fc-11081a88091b.rna_seq.transcriptome.gdc_realn.bam	TCGA-AD-6963-01A-11R-1928-07	d0493314-1f52-4055-8766-d273f02cf82f	14217625-8c5c-4205-a3e0-e29064b6609a.mirbase21.mirnas.quantification.txt	TCGA-AD-6963-01A-11H-1927-13	08003f93-05c8-40ed-95dc-16abf83b1e43	47a8e514-904c-4867-8f43-7eb573be835b
788adca0-1a65-4c33-80b0-ac1f937dd2e4	2dbf638a-46c1-4ec8-b81d-d859c7dcf989.rna_seq.transcriptome.gdc_realn.bam	TCGA-A6-4105-01A-02R-1774-07	7685c40e-89c0-4f0c-abb0-871b0d59090e	c935315d-edc7-4fbe-ae8d-02696979e24d.mirbase21.mirnas.quantification.txt	TCGA-A6-4105-01A-02T-1773-13	08c83da9-c037-464b-a68a-9df6e89ed861	95d4f0c4-5997-4ffb-b876-0ddfeee972bb
5598442c-f6a5-4bc0-b7cb-4176f5318313	ec054d40-e5b8-496a-8c99-5e7f88f2cf37.rna_seq.transcriptome.gdc_realn.bam	TCGA-F4-6807-01A-11R-1839-07	bfcdcda4-5243-419a-9952-123a9b2634b4	3dd482d9-11c5-4e6f-8ba8-e1502930a56e.mirbase21.mirnas.quantification.txt	TCGA-F4-6807-01A-11H-1838-13	0985b9ce-b40a-40e1-b965-c52d69bfe76b	9382987c-b5b3-48fe-8194-4d83fe340cd0
237b8b52-b3fb-4690-8356-a3a1c464b77d	69201842-6398-4509-b227-fca5bc12b08d.rna_seq.transcriptome.gdc_realn.bam	TCGA-AU-6004-01A-11R-1723-07	0092011c-a01a-408d-8811-03dee0faa8fe	e2c2676f-f9e4-4019-9d27-ee345376900d.mirbase21.mirnas.quantification.txt	TCGA-AU-6004-01A-11H-1722-13	09ddb59b-46b1-42d3-bb06-62e67a213394	32b77693-18e1-4692-8488-add1940c9e7c
5d52381a-ce68-4848-9d32-a2a6d92b4f9e	5a575c2e-b083-4897-87e5-4d2e823bf73f.rna_seq.transcriptome.gdc_realn.bam	TCGA-CK-4948-01B-11R-1653-07	23f50654-4edb-4f37-9e41-4f1880901283	7c705637-fa14-4872-8395-8d3b69758de2.mirbase21.mirnas.quantification.txt	TCGA-CK-4948-01B-11H-1652-13	0ad869d1-24d5-412b-8058-154b97a65853	5d73b382-3da3-4220-890e-2095228bbe6c
4a848ba9-297a-4a02-9caa-64bf339e1501	8e357f45-e258-4685-91f6-1da2d0be4fc1.rna_seq.transcriptome.gdc_realn.bam	TCGA-CM-6171-01A-11R-1653-07	1cd7a76b-6572-4268-bb48-54888d2dd73a	e5d4e3c9-a94e-49dc-9f94-09e9be0e2e5e.mirbase21.mirnas.quantification.txt	TCGA-CM-6171-01A-11H-1652-13	0b30934d-0c35-41a1-8a1c-8c5f6a9774d9	eed7405f-f8f3-41a4-a0e7-242f23087f59
77364166-9858-4f86-a3bf-579eed7aaec7	f4cfbfdb-3861-4731-92d8-74e66a7ae5a7.rna_seq.transcriptome.gdc_realn.bam	TCGA-A6-5662-01A-01R-1653-07	20cde389-36ae-48db-bf72-19fad850d4fd	2388a6a2-03c9-4483-8f90-aeb45a8b4135.mirbase21.mirnas.quantification.txt	TCGA-A6-5662-01A-01T-1652-13	0b58159a-ab85-4baa-b83e-55a8d080a3c5	960d278c-c87d-42dc-ad28-42e010d8f0f1
dfe1676d-9260-41cc-bf66-4c592d6a02b7	c340b651-bd01-4194-a67b-e801d0feeb2b.rna_seq.transcriptome.gdc_realn.bam	TCGA-AY-5543-01A-01R-1653-07	e8d03d45-2566-426d-a6d7-e5e3991d5771	113ed838-aa95-4974-804c-893a3cebd0c1.mirbase21.mirnas.quantification.txt	TCGA-AY-5543-01A-01T-1652-13	0b6dfffe-43c7-47a7-82aa-fd9f7dec0f13	14cc6f5b-5692-471e-98b4-ae200b3d8fed
fdf36034-e9a6-4fa7-8676-9cfb7334cb7f	1323d4f2-5d37-46a2-a615-c30f8b15c37e.rna_seq.transcriptome.gdc_realn.bam	TCGA-G4-6299-01A-11R-1774-07	61832a31-985b-4b93-95d2-93a216de6989	a686854a-6748-4f37-8783-571548817923.mirbase21.mirnas.quantification.txt	TCGA-G4-6299-01A-11H-1773-13	0bf53b2c-319a-4657-901f-a2182af61352	23252dca-e836-47a0-b294-758ad60aa259
cbe63bd5-111d-4231-9aee-d450fa47899b	ef30a39e-fc69-4507-93b1-0fd42377f8db.rna_seq.transcriptome.gdc_realn.bam	TCGA-CM-6166-01A-11R-1653-07	616abdee-6b76-49ba-b4ab-9fb099842b4a	1b948250-7238-403e-ac74-cbba741781d4.mirbase21.mirnas.quantification.txt	TCGA-CM-6166-01A-11H-1652-13	0c749ae7-1564-4ade-847f-376d21d1753b	aedde4a5-6520-40b9-9721-c9b826490b7a
a8ba40f3-0de2-4227-a2de-fdbc222b9a57	8ee55a63-4e87-4c00-8012-4c87efdcb7ed.rna_seq.transcriptome.gdc_realn.bam	TCGA-CM-6165-01A-11R-1653-07	d696e744-2669-4514-9dcf-deb484274601	ea36285b-19c7-4d37-8529-e7373ff5a058.mirbase21.mirnas.quantification.txt	TCGA-CM-6165-01A-11H-1652-13	0d1b5f70-169a-415f-93f3-efe0ccc0e4c7	f4e047a5-bdb2-4bc2-aff0-e0f45bcc9062
42da213e-7fd4-46ad-a9ba-956bd03c3441	9ca22f6c-326b-4844-8e7d-fb076c7e1067.rna_seq.transcriptome.gdc_realn.bam	TCGA-F4-6463-01A-11R-1723-07	ecc79554-1afa-4de5-849d-03f1d89d9342	2db1726f-0fb1-4f8f-aa33-b4930ffa3b23.mirbase21.mirnas.quantification.txt	TCGA-F4-6463-01A-11H-1722-13	0e53a06b-feae-46ab-9b7d-f1aeb31b499b	cbe23011-93b7-4e9f-b934-bd0122f91f54
b66238b7-0a10-432b-bb8b-f6c99d97f3a6	f8d9864e-e148-4e60-9d9d-3df2897050cd.rna_seq.transcriptome.gdc_realn.bam	TCGA-DM-A1D0-01A-11R-A155-07	7eb241f3-158f-4afc-be0b-d63363f283b8	be5ec646-cda1-4c21-8243-2c9089e37bb6.mirbase21.mirnas.quantification.txt	TCGA-DM-A1D0-01A-11H-A154-13	0f5128f0-8b2d-45cf-858b-5cd4147ae689	1b0b0533-7c4f-4edd-a75e-8b56f49d54ab
56b20e4c-13c9-4cb4-9455-48224949facf	b02dc7a2-3615-4b6c-a3dd-a866d8561d9d.rna_seq.transcriptome.gdc_realn.bam	TCGA-D5-6529-01A-11R-1774-07	019e1dcb-9285-4c0c-a334-00cb073a20d0	e2f72b90-e66f-460c-931a-e610b081b688.mirbase21.mirnas.quantification.txt	TCGA-D5-6529-01A-11H-1773-13	0fbbfa5e-f2c3-4cc1-aeb3-456bd307cb85	9c34830b-4d7f-4b41-9659-fbfc36c145c9
0f1c8432-df2d-4e7e-8ad2-fa5682c328e1	f65f4ed5-9726-4eff-8638-63752686d2c9.rna_seq.transcriptome.gdc_realn.bam	TCGA-F4-6461-01A-11R-1774-07	ab7c1ad6-928d-47ed-9d03-2ac2d262dc4d	e09802d9-0969-4b52-96ff-a90723b12763.mirbase21.mirnas.quantification.txt	TCGA-F4-6461-01A-11H-1773-13	115e6be9-dd9a-4137-8a5c-821ff7860a8f	2900eadd-7e27-4371-94e5-7d58cdff0138
b36b1c5e-b93a-4235-9c24-81e5ce798632	cfbdbfeb-7550-46dc-bd3b-bf85c4a14443.rna_seq.transcriptome.gdc_realn.bam	TCGA-G4-6625-01A-21R-1774-07	41c5a6a5-4b73-4ce2-9339-d241cad96c5e	fc10cb32-06df-4470-9bab-9c4130fb2944.mirbase21.mirnas.quantification.txt	TCGA-G4-6625-01A-21H-1773-13	139cd85f-9a93-421f-8782-78ac917b97e6	5eed7e8a-c219-4497-a99f-bfc48faca4d8
